row.names.t.stat.desc.C...,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
WW_98,8805,4404,156,0,52,52,122624,0,13.9266325951164,0.197140841376643,0.386442076507942,342.20202233717,18.4987032609632,1.32829692566529
WW_99,8670,2909,291,0,52,52,171243,13,19.7512110726644,0.214656171616815,0.420777114136998,399.489948354336,19.9872446413791,1.01195033397427
WW_00,8597,1880,364,0,53,53,227023,26,26.4072350820054,0.223167947495014,0.437462736637502,428.164410188215,20.6921340172592,0.783578210782068
WW_01,8560,1476,401,0,52,52,254865,33,29.7739485981308,0.217246302186746,0.425855149909036,403.997381766256,20.0996861111376,0.675076268264915
WW_02,8558,1361,403,0,52,52,272220,38,31.8088338396822,0.217372713870616,0.426102961384255,404.373174262209,20.1090321562777,0.632183885068783
WW_03,8500,1285,461,0,52,52,284551,43,33.4765882352941,0.218355527802861,0.428029927026652,405.27266043756,20.1313849607413,0.601357128129231
WW_04,8475,1257,486,0,52,52,297393,46,35.0906194690266,0.217945770678645,0.427226882954147,402.565542158106,20.0640360385967,0.571777766884583
WW_05,8429,1102,532,0,53,53,314564,50,37.319254953138,0.217444859119107,0.426245306428086,398.542226497521,19.9635223970501,0.534938932251419
WW_06,8376,989,585,0,52,52,321865,51,38.4270534861509,0.207053947436922,0.40587693749416,359.090319961796,18.9496786242352,0.493133792604334
WW_07,8314,994,647,0,52,52,326480,52,39.2687033918691,0.206780399919737,0.405341153682371,355.491124338093,18.8544722635796,0.480139924036391
WW_08,8241,1060,720,0,52,52,323837,52,39.295837883752,0.209854271638342,0.411367239551597,362.923877092162,19.050561070272,0.48479844421765
WW_09,8205,1272,756,0,52,52,307338,52,37.4574040219378,0.224406379280663,0.439893320122266,413.189220222534,20.3270563590141,0.542671252580906
WW_10,8129,1435,832,0,52,52,301203,52,37.0528970353057,0.230981914132133,0.452783657972074,433.703648409796,20.8255527756119,0.562049244240426
WW_11,8051,1412,910,0,53,53,305829,53,37.9864613091541,0.234890289744194,0.460445738756346,444.201431587913,21.0760867237709,0.554831537274358
WW_12,7885,1501,1076,0,52,52,300526,52,38.1136334812936,0.237588659536996,0.465736716310789,445.095406443526,21.097284338121,0.553536422825593
WW_13,7832,1354,1129,0,52,52,303741,52,38.7820480081716,0.23215857439852,0.45509278378934,422.126031918012,20.5457059240614,0.529773618962369
