row.names.t.stat.desc.G.G.Classification....1....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
R0000100,6732,0,0,1,9022,9021,30450304,4530,4523.21806298277,31.7449214319069,62.2300928452493,6784105.92718519,2604.63162984427,0.575835963152013
NA_B18,6732,6732,0,0,0,0,0,0,0,0,0,0,0,
NA_A18,6732,5261,0,0,68,68,3849,0,0.57174688057041,0.0272631746007956,0.0534444506439541,5.00376560045825,2.23690983288515,3.91241283319896
B18_NOARREST,6732,0,0,1,1,0,6732,1,1,0,0,0,0,0
B18_ARREST,6732,6732,0,0,0,0,0,0,0,0,0,0,0,
B18_INCAF,6732,6732,0,0,0,0,0,0,0,0,0,0,0,
Classification,6732,0,0,1,1,0,6732,1,1,0,0,0,0,0
Hispanic,6732,5289,0,0,1,1,1443,0,0.214349376114082,0.00500191199623934,0.00980533055019258,0.168428740197204,0.41040070686733,1.91463448276567
White,6732,2776,0,0,1,1,3956,1,0.587641117052882,0.00600003756985369,0.0117619725677346,0.242355035052563,0.492295678482518,0.837748864394416
Black,6732,4929,0,0,1,1,1803,0,0.267825311942959,0.00539750893402283,0.0105808257493339,0.196124047328309,0.442858947440727,1.65353656914641
Other_R,6732,5758,0,0,1,1,974,0,0.144682115270351,0.00428776925737196,0.0084053847654848,0.123767585756452,0.351806176404639,2.43158026648463
Male,6732,3573,0,0,1,1,3159,0,0.469251336898396,0.00608285436097749,0.0119243196887326,0.249091520834641,0.499090693997234,1.06358928521348
Sample,6732,0,0,1,2,1,8442,1,1.25401069518717,0.00530581993098647,0.0104010862850521,0.189517413642839,0.435335977887009,0.347154916268106
MSA_97,6732,1167,0,0,1,1,5565,1,0.826648841354724,0.00461406926548474,0.00904503605092962,0.143321824076803,0.378578689411862,0.457967967137584
Urban_97,6732,1689,0,0,1,1,5043,1,0.749108734402852,0.00528415327229558,0.0103586127768132,0.187972760720014,0.433558255278359,0.578765452019415
