row.names.t.stat.desc.G...,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
GH04,8240,0,0,1,5,4,17369,2,2.10788834951456,0.0102474570772051,0.0200875978007457,0.865285502765087,0.930207236461364,0.44129815351728
GH05,8240,0,0,1,5,4,17742,2,2.15315533980583,0.0104097714851488,0.020405774936739,0.892913941153665,0.944941236878604,0.438863476038761
GH06,8240,0,0,1,5,4,17650,2,2.14199029126214,0.0103737350853181,0.0203351345134094,0.886742488071769,0.941670052657388,0.439623865943166
GH07,8240,0,0,1,5,4,18076,2,2.19368932038835,0.0104719547238201,0.020527669752103,0.903613526478965,0.950585885903512,0.433327489480247
GH08,8240,0,0,1,5,4,18342,2,2.22597087378641,0.0103988166268584,0.0203843006543249,0.891035590849582,0.943946815689095,0.424060721910268
GH09,8240,0,0,1,5,4,18577,2,2.25449029126214,0.010553544598361,0.0206876064634298,0.917748981578262,0.957992161543226,0.424926275023749
GH10,8240,0,0,1,5,4,18873,2,2.29041262135922,0.0107640892411195,0.0211003270116566,0.954732685652067,0.977104234793846,0.426606204350198
GH11,8240,0,0,1,5,4,19060,2,2.31310679611651,0.0107134354012207,0.0210010327228116,0.945768232312103,0.972506160552263,0.420432883680516
GH13,8240,0,0,1,5,4,18981,2,2.30351941747573,0.0108104170168626,0.0211911411247696,0.962968556486613,0.981309612959443,0.426004489267468
GH15,8240,0,0,1,5,4,19304,2,2.34271844660194,0.0109163582932038,0.021398812719157,0.981935077897332,0.990926373600648,0.422981419315652
GH17,8240,0,0,1,5,4,19158,2,2.325,0.0106938014629694,0.0209625452569101,0.942304891370312,0.970723900689744,0.417515656210643
GH19,8240,0,0,1,5,4,19375,2,2.35133495145631,0.0106553265724404,0.0208871247774144,0.935536511170528,0.967231363826943,0.411354138732078
GH21,8240,0,0,1,5,4,20095,2,2.43871359223301,0.0108479262066725,0.0212646685875398,0.96966262459979,0.984714488874714,0.403784393547034
WW_97,8240,5739,0,0,52,52,67984,0,8.2504854368932,0.171834302385031,0.336838527712442,243.302706403478,15.5981635586846,1.89057524893448
WW_98,8240,4145,0,0,52,52,113456,0,13.768932038835,0.202918984554082,0.397772336800054,339.291181769868,18.4198583536863,1.33778409986581
WW_99,8240,2765,0,0,52,52,161814,13,19.6376213592233,0.219244095028606,0.429773666573314,396.080099208477,19.9017612087091,1.01345070488192
WW_00,8240,1795,0,0,53,53,216959,26,26.3299757281553,0.227416950822745,0.445794523146733,426.160188857282,20.6436476635618,0.784035954939641
WW_01,8240,1406,0,0,52,52,246022,33,29.8570388349515,0.220563651021508,0.432360328792173,400.862191011964,20.021543172592,0.67058033729568
WW_02,8240,1279,0,0,52,52,262691,37,31.8799757281553,0.220279531260159,0.431803382473666,399.830112391691,19.9957523587309,0.627219811245693
WW_03,8240,1211,0,0,52,52,276872,43,33.6009708737864,0.220287946423978,0.431819878315019,399.860661759074,19.9965162405624,0.595117215977902
WW_04,8240,1195,0,0,52,52,290106,46,35.2070388349515,0.219784362075955,0.430832726110757,398.034566300227,19.9508036504855,0.566670879195883
WW_05,8240,1060,0,0,53,53,308176,50,37.4,0.218765878937052,0.428836242543469,394.354120645709,19.8583514080527,0.530971962782158
WW_06,8240,948,0,0,52,52,317341,51,38.5122572815534,0.207560880554706,0.406871622524395,354.991717685953,18.8412238903409,0.489226683146549
WW_07,8240,958,0,0,52,52,324928,52,39.4330097087379,0.205924768948346,0.403664431544422,349.417286243382,18.6927067660995,0.474037028980758
WW_08,8240,1045,0,0,52,52,324237,52,39.3491504854369,0.209030914886938,0.409753260202573,360.037928638597,18.9746654420729,0.482212835804307
WW_09,8240,1278,0,0,52,52,308708,52,37.4645631067961,0.223614691028986,0.438341135940957,412.029087562469,20.2984996382114,0.541805320946856
WW_10,8240,1445,0,0,52,52,305366,52,37.0589805825243,0.229111681870427,0.44911662300134,432.535421220645,20.7974859350991,0.561199623092344
WW_11,8240,1445,0,0,53,53,312525,53,37.9277912621359,0.232051838297054,0.454880070393643,443.707978614027,21.0643770051247,0.555381062386138
WW_12,8240,1591,0,0,52,52,312986,52,37.9837378640777,0.23332737814738,0.457380449882831,448.599322839396,21.1801634280616,0.557611352096347
WW_13,8240,1417,0,0,52,52,319429,52,38.7656553398058,0.226358040457705,0.443718792030251,422.200810833981,20.5475256620835,0.53004458410341
WW_14,8240,1437,0,0,52,52,319042,52,38.7186893203884,0.229669646922727,0.450210375087641,434.644728953108,20.8481349034658,0.538451462831095
WW_15,8240,1339,0,0,52,52,326409,52,39.6127427184466,0.220833144145044,0.432888603215268,401.842367036602,20.0460062615126,0.506049439797505
WW_16,8240,1378,0,0,53,53,330517,53,40.111286407767,0.23075867462941,0.452345143782051,438.77642315379,20.946990789939,0.522221864863525
WW_17,8240,1358,0,0,52,52,331647,52,40.2484223300971,0.220678250103933,0.432584971867889,401.278854168017,20.0319458407818,0.497707603952523
WW_18,8240,1356,0,0,52,52,322939,52,39.1916262135922,0.225853288412207,0.442729350844728,420.319992985646,20.5017070749156,0.523114477648426
WW_19,8240,1372,0,0,52,52,298295,43,36.2008495145631,0.203141152772334,0.398207842484902,340.034542305304,18.44002555056,0.509381017236675
WW_20,8240,2393,0,0,28,28,47635,4,5.78094660194175,0.0701838547917923,0.137578038779937,40.5883734211075,6.37090051885191,1.10205143855022
A97,8240,7882,0,0,9,9,497,0,0.0603155339805825,0.00367927606629926,0.00721230811321308,0.111545476345631,0.333984245654837,5.53728407282869
A98,8240,7762,0,0,9,9,795,0,0.0964805825242718,0.00557797714089028,0.0109342406124542,0.256377950830587,0.50633778333301,5.24807966624403
A99,8240,7741,0,0,11,11,788,0,0.0956310679611651,0.00514147991177092,0.0100785960643844,0.217822881229106,0.466714989291222,4.88036993878131
A00,8240,7732,0,0,11,11,798,0,0.0968446601941748,0.00544761330376041,0.0106786946454599,0.244534283428213,0.494504078272579,5.10615739970683
A01,8240,7720,0,0,11,11,784,0,0.0951456310679612,0.0052446739875774,0.0102808824535444,0.226654427144401,0.476082374326545,5.00372291384022
A02,8240,7736,0,0,25,25,751,0,0.0911407766990291,0.00568554638473915,0.0111451034333362,0.266361606590488,0.516102321822415,5.66269391719934
A03,8240,7801,0,0,60,60,857,0,0.104004854368932,0.0121559818727368,0.0238287872681962,1.21760745719211,1.10345251696306,10.6096251339272
A04,8240,7857,0,0,30,30,640,0,0.0776699029126214,0.00679467703576637,0.0133192789637587,0.380421320807856,0.616783041926297,7.94108166480107
A05,8240,7850,0,0,19,19,580,0,0.0703883495145631,0.00506140109143867,0.00992162140002884,0.211090515509352,0.459445878759786,6.52730007065628
A06,8240,7862,0,0,13,13,561,0,0.0680825242718447,0.00440078277878219,0.00862664305911249,0.159583165904053,0.399478617580533,5.86756472168197
A07,8240,7919,0,0,11,11,458,0,0.0555825242718447,0.0040262681061424,0.00789249993874746,0.133577279267326,0.365482255748929,6.57548861871436
A08,8240,7949,0,0,13,13,394,0,0.0478155339805825,0.00361085625177843,0.00707818803782839,0.1074354508571,0.32777347491385,6.85495795251301
A09,8240,7945,0,0,8,8,442,0,0.0536407766990291,0.00379217818827,0.00743362471887555,0.118496270991507,0.344232873199971,6.41737302074154
A10,8240,7992,0,0,33,33,389,0,0.0472087378640777,0.00536302432231296,0.0105128789289471,0.236999126225376,0.486825560365698,10.3121918185433
A11,8240,8021,0,0,12,12,306,0,0.0371359223300971,0.00331629933929125,0.00650078227336477,0.0906222123761367,0.301035234442975,8.10630827388925
A12,8240,8083,0,0,12,12,201,0,0.0243932038834951,0.00246973392284322,0.0048413007581451,0.0502605857530547,0.224188727979474,9.19062248035257
A13,8240,8067,0,0,4,4,226,0,0.0274271844660194,0.00232124968487975,0.00455023423993589,0.0443987688203277,0.210710153576727,7.68252949323994
A14,8240,8108,0,0,12,12,186,0,0.0225728155339806,0.00265845873570389,0.00521124894209008,0.0582353994793882,0.241320118264906,10.6907407231335
A15,8240,8106,0,0,8,8,187,0,0.0226941747572816,0.00238063026289636,0.0046666351342638,0.0466993796966123,0.2161003926341,9.52228468077532
A16,8240,8140,0,0,15,15,147,0,0.0178398058252427,0.00271486382246409,0.00532181712385641,0.0607328011340805,0.246440258752665,13.8140662049113
A17,8240,8139,0,0,9,9,137,0,0.016626213592233,0.00220046095023735,0.00431345788634132,0.0398983139626003,0.19974562313753,12.0138973332354
A18,8240,8158,0,0,11,11,111,0,0.0134708737864078,0.00211437432633656,0.00414470641327687,0.0368375692450187,0.191931157567026,14.2478625076783
