row.names.t.stat.desc.L.L.Classification....3....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
Male,2352,602,0,0,1,1,1750,1,0.744047619047619,0.00900023062318979,0.0176492141341445,0.190521763788459,0.436487988137656,0.58663985605701
Sample,2352,0,0,1,2,1,3206,1,1.36309523809524,0.00991793391221741,0.0194488060043712,0.231355451580888,0.480994232377986,0.352869131176863
MSA_97,2352,462,0,0,1,1,1890,1,0.803571428571429,0.00819385469001191,0.0160679322633659,0.157911527009783,0.397380833722241,0.494518370854344
Urban_97,2352,378,0,0,1,1,1974,1,0.839285714285714,0.00757453265286011,0.0148534581338337,0.134942577626542,0.367345311153609,0.437688030310683
Northeast,2352,2086,0,0,1,1,266,0,0.113095238095238,0.00653182195811242,0.0128087300482947,0.100347369913512,0.316776529928453,2.80097142252527
Northcentral,2352,1848,0,0,1,1,504,0,0.214285714285714,0.00846257673484258,0.0165948890837346,0.168438962143769,0.410413160295535,1.9152614147125
South,2352,1372,0,0,1,1,980,0,0.416666666666667,0.0101677875091362,0.0199387622975849,0.243158939458387,0.493111487858868,1.18346757086128
West,2352,1750,0,0,1,1,602,0,0.255952380952381,0.00900023062318979,0.0176492141341445,0.190521763788459,0.436487988137656,1.70534841877038
PIB16,2352,1988,0,0,1,1,364,0,0.154761904761905,0.00745925149298154,0.0146273948292905,0.130866298029207,0.361754472023785,2.33749043461523
BMEA97,2352,0,0,2,20,18,27328,12,11.6190476190476,0.0612886767430229,0.120185473586521,8.8348220615341,2.97234285733226,0.255816393458924
BFEA97,2352,0,0,2,19,17,25872,12,11,0.0561665910416634,0.11014119904051,7.41982135261591,2.72393490241891,0.247630445674446
PHEALTH97,2352,0,0,1,5,4,6272,3,2.66666666666667,0.0234575264708109,0.0459995887965342,1.29420104919892,1.13762957468542,0.426611090507031
BBPHH,2352,1876,0,0,1,1,476,0,0.202380952380952,0.00828621621718436,0.0162490507745541,0.161491563873529,0.401860129738606,1.98566181753193
CC1Y,2352,1904,0,0,1,1,448,0,0.19047619047619,0.00809857944855694,0.0158811000355573,0.154260598326953,0.392760230072946,2.06199120788296
HT97,2352,2142,0,0,1,1,210,0,0.0892857142857143,0.00588106187478726,0.0115326067419689,0.0813483623989792,0.285216343148458,3.19442304326273
HHNW97,2352,0,0,-48250,600000,648250,123073398,13500,52327.125,2110.92334580366,4139.46483269665,10480505818.6122,102374.341602826,1.95642970262223
GH97,2352,0,0,1,5,4,5096,2,2.16666666666667,0.0205830759132372,0.0403628673020965,0.996455409045796,0.99822613121767,0.460719752869694
WW_97,2352,1736,0,0,52,52,12600,0,5.35714285714286,0.246106437901239,0.48260821351832,142.456826882178,11.9355279264127,2.22796521293037
