row.names.t.stat.desc.G.G.Classification....2....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
Northcentral,1237,933,0,0,1,1,304,0,0.245755860953921,0.0122461247341278,0.0240254902210102,0.185509885331722,0.430708585161385,1.75258723633103
South,1237,784,0,0,1,1,453,0,0.366208569118836,0.0137033956597414,0.0268844884047475,0.232287636075378,0.481962276610295,1.31608683480559
West,1237,961,0,0,1,1,276,0,0.223120452708165,0.0118423338403364,0.023233298864092,0.173477957162254,0.416506851278889,1.86673541678256
PIB16,1237,1112,0,0,1,1,125,0,0.101050929668553,0.00857291396129474,0.0168190725649438,0.0909131341354619,0.301518049435622,2.98382261721491
BMEA97,1237,0,0,1,20,19,14987,12,12.1156022635408,0.0790844196798851,0.155154548308516,7.73662530446089,2.78147897789304,0.229578267542116
BFEA97,1237,0,0,2,20,18,14835,12,11.9927243330639,0.0823120577120511,0.161486803422875,8.38101498300775,2.89499826994901,0.241396215701174
PHEALTH97,1237,0,0,1,5,4,2999,2,2.42441390460792,0.0318828363518347,0.0625504630746052,1.25742936899744,1.12135158135058,0.46252481031366
BBPHH,1237,771,0,0,1,1,466,0,0.376717865804365,0.0137829192692499,0.0270405045930574,0.234991484251752,0.48475920233839,1.28679642337465
CC1Y,1237,886,0,0,1,1,351,0,0.283751010509297,0.0128230543842449,0.0251573599322888,0.203400805267991,0.450999784110803,1.58942089158138
HT97,1237,1163,0,0,1,1,74,0,0.0598221503637834,0.0067456962601118,0.0132342812971326,0.0562889651076699,0.237252955951385,3.96597170961978
HHNW97,1237,0,0,-487000,600000,1087000,87854403,23100,71022.1527890057,3511.7702450622,6889.68988255088,15255339924.327,123512.509181568,1.73907019614714
GH97,1237,0,0,1,5,4,2527,2,2.04284559417947,0.026413928817699,0.0518210946144901,0.86304950122046,0.929004575457225,0.454760055338579
GH98,1237,0,0,1,5,4,2551,2,2.06224737267583,0.0281342755430876,0.0551962173022729,0.979131838433626,0.989510908698649,0.4798216362447
GH99,1237,0,0,1,5,4,2642,2,2.13581244947454,0.0273919129200316,0.0537397870986044,0.928141997158801,0.963401264872951,0.45107016072969
GH00,1237,0,0,1,5,4,2680,2,2.16653193209378,0.0275646109280789,0.0540786007554639,0.939882218437445,0.969475228377417,0.447477931904054
GH01,1237,0,0,1,5,4,2695,2,2.178658043654,0.0282654299862771,0.0554535272562952,0.988282016466396,0.99412374303524,0.456300953667752
GH02,1237,0,0,1,5,4,2742,2,2.21665319320938,0.0272573121044676,0.0534757157578102,0.919042835129358,0.958667218136387,0.432484080537823
