row.names.t.stat.desc.G.G.Classification....4....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
WW_01,103,38,0,0,52,52,1952,12,18.9514563106796,1.96191506580884,3.8914492307349,396.458404721112,19.9112632628146,1.05064555126532
WW_02,103,39,0,0,52,52,2063,13,20.0291262135922,2.04585061115048,4.05793498694495,431.106986483914,20.7631160109439,1.03664612172914
WW_03,103,33,0,0,52,52,2187,13,21.2330097087379,2.03735362683546,4.04108125884401,427.533409480297,20.6768810385004,0.973808297652282
WW_04,103,33,0,0,52,52,2353,22,22.8446601941748,2.06637237215884,4.09863980260239,439.7991623834,20.9713891381425,0.917999609531948
WW_05,103,33,0,0,53,53,2669,26,25.9126213592233,2.18631095811664,4.33653741916842,492.335427374834,22.1886328414987,0.85628669264682
WW_06,103,32,0,0,52,52,2809,31,27.2718446601942,2.24982577216408,4.46251875168003,521.356748524653,22.8332378020432,0.83724581474206
WW_07,103,30,0,0,52,52,2918,30,28.3300970873786,2.1998645039663,4.36342081309793,498.458595088521,22.3261863086493,0.788073060243619
WW_08,103,26,0,0,52,52,2716,23,26.368932038835,2.11792951072167,4.20090314248682,462.019417475728,21.494636946823,0.815150075671122
WW_09,103,34,0,0,52,52,2510,18,24.368932038835,2.24189172058317,4.44678159798809,517.686084142395,22.7527159728766,0.933677189325216
WW_10,103,36,0,0,52,52,2512,21,24.3883495145631,2.20227946434691,4.36821087556248,499.553588425662,22.3506954796861,0.916449695225983
WW_11,103,35,0,0,53,53,2764,27,26.8349514563107,2.30027837841316,4.5625912569572,545.001903674091,23.3452758320413,0.869957818632508
WW_12,103,36,0,0,52,52,2853,35,27.6990291262136,2.30555801150685,4.5730633841655,547.506567675614,23.3988582558127,0.844753733034948
WW_13,103,30,0,0,52,52,3166,46,30.7378640776699,2.28874039665567,4.53970572484785,539.548258138207,23.2281781063046,0.755686148120458
WW_14,103,37,0,0,52,52,2887,40,28.0291262135922,2.40958554046321,4.77940149461044,598.028555111365,24.4546223669752,0.872471805957204
WW_15,103,32,0,0,52,52,3076,41,29.8640776699029,2.33612117091614,4.63368526594053,562.118598895869,23.7090404465442,0.793898298437599
WW_16,103,30,0,0,53,53,3234,48,31.3980582524272,2.35702286533395,4.67514367771419,572.222349133828,23.9211694767172,0.761867797186727
WW_17,103,32,0,0,52,52,3272,51,31.7669902912621,2.33527171465076,4.63200037346578,561.709880068532,23.7004194070175,0.746070659817483
WW_18,103,34,0,0,52,52,3116,44,30.252427184466,2.33997525400159,4.64132982146662,563.974871501999,23.7481551178612,0.784999992663578
WW_19,103,30,0,0,52,52,2992,40,29.0485436893204,2.15306963655314,4.27060341545886,477.478012564249,21.8512702734704,0.752232900457034
WW_20,103,47,0,0,26,26,611,1,5.93203883495146,0.794549073821444,1.57598432062036,65.0247477631829,8.06379239335829,1.35936271115532
A97,103,69,0,0,5,5,54,0,0.524271844660194,0.0913596977009871,0.181211527213646,0.859699219493623,0.927199665386923,1.76854750990469
A98,103,61,0,0,8,8,79,0,0.766990291262136,0.146800306542526,0.291177711982677,2.2196839901009,1.48986039282239,1.94247620836337
A99,103,51,0,0,11,11,111,1,1.07766990291262,0.161310854482611,0.319959315020985,2.68018275271274,1.63712637041639,1.51913528065665
A00,103,60,0,0,8,8,97,0,0.941747572815534,0.151032516369942,0.299572280108601,2.3495145631068,1.53281263144156,1.62762578390186
A01,103,63,0,0,11,11,100,0,0.970873786407767,0.188401711176785,0.373693900824286,3.65600609175709,1.91206853741101,1.96943059353334
A02,103,70,0,0,9,9,63,0,0.611650485436893,0.126630248435793,0.251170497363035,1.6516276413478,1.28515666023555,2.10112914292479
A03,103,78,0,0,10,10,45,0,0.436893203883495,0.118424442350775,0.234894319900715,1.44450790024748,1.20187682407453,2.75096250843726
A04,103,82,0,0,9,9,41,0,0.398058252427184,0.114059948155865,0.226237366359086,1.33999619265182,1.15758204575391,2.9080719686013
A05,103,79,0,0,19,19,57,0,0.553398058252427,0.200763892085874,0.398214228042961,4.15153245764325,2.03753097096541,3.68185421069188
