row.names.t.stat.desc.C.C.Classification....3....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
R0000100,179,0,0,24,8937,8913,887705,5139,4959.24581005587,203.768834637451,402.11352395541,7432391.09654134,2726.24120292782,0.549728992541531
NA_B18,179,5,0,0,14,14,641,3,3.58100558659218,0.212264071380016,0.418877861786886,8.06503044378884,2.83989972424888,0.793045320812089
NA_A18,179,43,0,0,60,60,744,2,4.15642458100559,0.470777456941538,0.929023236288046,39.6720230996171,6.29857310028368,1.51538250665427
B18_NOARREST,179,174,0,0,1,1,5,0,0.0279329608938548,0.0123508428019654,0.0243729171428693,0.027305253907476,0.165243014701003,5.91569992629592
B18_ARREST,179,5,0,0,1,1,174,1,0.972067039106145,0.0123508428019654,0.0243729171428693,0.027305253907476,0.165243014701003,0.169991377192411
B18_INCAF,179,179,0,0,0,0,0,0,0,0,0,0,0,
Classification,,,,,,,,,,,,,,
Hispanic,178,127,1,0,1,1,51,0,0.286516853932584,0.0339844552654616,0.0670668679858676,0.205579889544849,0.453409185554118,1.58248696134575
White,176,94,3,0,1,1,82,0,0.465909090909091,0.0377084916482334,0.0744219490384562,0.25025974025974,0.500259672829762,1.07372807826876
Black,176,112,3,0,1,1,64,0,0.363636363636364,0.0363636363636364,0.0717677258892503,0.232727272727273,0.482418151324422,1.32664991614216
Other_R,176,146,3,0,1,1,30,0,0.170454545454545,0.0284253200397543,0.0561005658655007,0.142207792207792,0.377104484470541,2.21234630889384
Male,179,45,0,0,1,1,134,1,0.748603351955307,0.0325158883718411,0.0641662326871781,0.189253656393196,0.435032937136024,0.581126087666778
Sample,179,0,0,1,2,1,242,1,1.35195530726257,0.0357961432352485,0.0706394249441956,0.229364132822798,0.478919756141672,0.354242298964294
MSA_97,179,34,0,0,1,1,145,1,0.810055865921788,0.0294008866341398,0.058019147790202,0.154729772142364,0.393357054267956,0.485592501475615
Urban_97,174,28,5,0,1,1,146,1,0.839080459770115,0.0279372171646039,0.0551416784718972,0.13580492990499,0.368517204354138,0.439191736696028
Northeast,179,159,0,0,1,1,20,0,0.111731843575419,0.0236129652429653,0.0465973743324354,0.0998054108342226,0.31591994371078,2.82748349621148
Northcentral,179,140,0,0,1,1,39,0,0.217877094972067,0.0309409247244022,0.061058229525163,0.171364007281401,0.413961359647735,1.89997649684473
South,179,106,0,0,1,1,73,0,0.407821229050279,0.0368342075215782,0.0726879211679238,0.242859833029942,0.492808109744494,1.2083924882776
