row.names.t.stat.desc.L.L.Classification....2....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
GH97,17318,0,0,1,5,4,35378,2,2.04284559417947,0.00705676914292597,0.0138319801468519,0.86240160357561,0.928655804685251,0.454589327422103
WW_97,17318,12236,0,0,52,52,132258,0,7.63702506063056,0.112581066288816,0.220670258907272,219.496930157136,14.8154287874883,1.9399476458265
NHIN_97,17318,14602,0,0,1,1,2716,0,0.156831042845594,0.00276335697282963,0.00541645872391337,0.132242702987317,0.363651898093928,2.31874947392881
Wave_Outcome,17318,0,0,1,19,18,148440,7.5,8.57142857142857,0.0416928556103621,0.0817222073427461,30.1037791105355,5.48669108940311,0.640113960430363
Ex_Medicare,17318,0,0,265.4,804.5,539.1,8425454.4,482.8,486.514285714286,1.18907806157235,2.33071307954199,24486.0351311263,156.480142929147,0.321635247975109
Ex_Medicaid,17318,0,0,248.1,615.1,367,6747340.2,359.55,389.614285714286,0.855564733216788,1.67699327617431,12676.6203583597,112.590498526118,0.288979389756471
Ex_Medicaid_Feds,17318,0,0,145.3,387.7,242.4,4117354.5,225.25,237.75,0.576425442501456,1.12985207753509,5754.18762343362,75.8563617861654,0.319059355567468
Ex_Medicaid_State,17318,0,0,102.8,227.4,124.6,2629862,136.5,151.857142857143,0.295588397166001,0.579383108392949,1513.11696433727,38.8988041504784,0.256153931376621
PC_Medicare,17318,0,0,3.6,18.8,15.2,126668.8,6.9,7.31428571428571,0.027950293023764,0.0547853968825023,13.5291485658189,3.67819909273803,0.502878782210278
PC_Medicaid,17318,0,0,-0.9,10.7,11.6,101062.9,6.15,5.83571428571429,0.0232889310519751,0.0456486566908938,9.39283829267689,3.06477377512222,0.525175432701482
PC_Medicaid_Feds,17318,0,0,-7.2,21.8,29,111206.3,6.95,6.42142857142857,0.0502808736867974,0.098555590032208,43.7827832682995,6.6168559957354,1.03043363671074
PC_Medicaid_State,17318,0,0,-9.9,21.8,31.7,92898.7,4.9,5.36428571428572,0.052426583040149,0.102761397048897,47.5993301792623,6.89922678126052,1.28614081142007
