row.names.t.stat.desc.L.L.Classification....4....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
Northcentral,1442,1050,0,0,1,1,392,0,0.271844660194175,0.0117203459848937,0.0229907667806264,0.198082507428094,0.445064610397293,1.63720195967576
South,1442,784,0,0,1,1,658,0,0.456310679611651,0.0131212051989786,0.0257387084817527,0.248263409309878,0.49826038304272,1.09193232879575
West,1442,1232,0,0,1,1,210,0,0.145631067961165,0.00929218292071888,0.0182276539181113,0.124509004669088,0.352858335127694,2.42296056787683
PIB16,1442,1260,0,0,1,1,182,0,0.12621359223301,0.00874830096991811,0.0171607687678633,0.11036025413851,0.33220513863953,2.63208686768243
BMEA97,1442,0,0,1,18,17,16534,12,11.4660194174757,0.0731237958595163,0.143440487071553,7.71050308914387,2.77677926546996,0.242174652280614
BFEA97,1442,0,0,3,16,13,15820,12,10.9708737864078,0.0618027016370789,0.121232897184273,5.50782560654346,2.34687571178012,0.213918759569339
PHEALTH97,1442,0,0,1,5,4,3962,3,2.74757281553398,0.0293019811644007,0.0574791065066972,1.23810999642913,1.11270391229164,0.404977042282824
BBPHH,1442,1120,0,0,1,1,322,0,0.223300970873786,0.0109708353289274,0.0215205179745652,0.173558006508425,0.416602936269567,1.86565662764198
CC1Y,1442,1106,0,0,1,1,336,0,0.233009708737864,0.0111365315402923,0.0218455495868429,0.178840206706508,0.422895030363928,1.81492450531186
HT97,1442,1260,0,0,1,1,182,0,0.12621359223301,0.00874830096991811,0.0171607687678633,0.11036025413851,0.33220513863953,2.63208686768243
HHNW97,1442,0,0,-40000,600000,640000,66755066,10500,46293.3883495146,2360.03504646957,4629.47215188196,8031601736.45422,89619.2040605931,1.93589640455715
GH97,1442,0,0,1,5,4,3206,2,2.22330097087379,0.0264534354960349,0.0518913662463183,1.00908888784083,1.00453416459612,0.451821043464632
WW_97,1442,1134,0,0,52,52,8246,0,5.71844660194175,0.354105217679126,0.694616906869203,180.813108480492,13.4466764845627,2.35145615943966
NHIN_97,1442,1120,0,0,1,1,322,0,0.223300970873786,0.0109708353289274,0.0215205179745652,0.173558006508425,0.416602936269567,1.86565662764198
Wave_Outcome,1442,0,0,1,19,18,12360,7.5,8.57142857142857,0.144532654730214,0.283516933831992,30.1229305046099,5.48843607092311,0.640317541607696
Ex_Medicare,1442,0,0,265.4,804.5,539.1,701553.6,482.8,486.514285714286,4.1220637541986,8.08588812564078,24501.6126340835,156.529909710839,0.32173754051441
Ex_Medicaid,1442,0,0,248.1,615.1,367,561823.8,359.55,389.614285714286,2.96590483849317,5.81795337127554,12684.6849588579,112.626306691012,0.289071296460633
Ex_Medicaid_Feds,1442,0,0,145.3,387.7,242.4,342835.5,225.25,237.75,1.99823922442165,3.91976926617963,5757.84831714087,75.8804870644679,0.31916082887263
Ex_Medicaid_State,1442,0,0,102.8,227.4,124.6,218978,136.5,151.857142857143,1.02468816598001,2.01004020506549,1514.07957767423,38.9111754856395,0.256235398306187
PC_Medicare,1442,0,0,3.6,18.8,15.2,10547.2,6.9,7.31428571428571,0.0968926208596751,0.190065690195464,13.5377555269158,3.67936890334685,0.503038717254453
PC_Medicaid,1442,0,0,-0.9,10.7,11.6,8415.1,6.15,5.83571428571429,0.08073352092329,0.15836781212078,9.39881381976802,3.06574849258187,0.525342458949158
PC_Medicaid_Feds,1442,0,0,-7.2,21.8,29,9259.7,6.95,6.42142857142857,0.174303919693648,0.341916592888196,43.8106369584614,6.61896041372521,1.03076135475142
PC_Medicaid_State,1442,0,0,-9.9,21.8,31.7,7735.3,4.9,5.36428571428572,0.181742246106634,0.356507700353756,47.629611876673,6.90142100416088,1.28654985430429
